Номер заказа;Артикул WB;Баркод;Название товара;Количество;Цена;Дата заказа;Склад;Статус
2854395227;Брудер_Базис_90_Престиж;;;0;1100000;2025-01-20T18:38:18Z;;
2855264647;Брудер_ПУ_95_БР;;;0;1370000;2025-01-21T02:16:33Z;;
2855423584;Кормушка_НетПотерь_25л_2стор;;;0;344600;2025-01-21T04:03:19Z;;
2856029331;Брудер_ПУ_55_Престиж;;;0;990000;2025-01-21T07:07:21Z;;
2856195552;инфракрасная_лампа_300_2шт;;;0;104400;2025-01-21T07:45:03Z;;
2857052964;Брудер_П_95_Престиж_;;;0;1339900;2025-01-21T10:43:36Z;;
2857059401;Брудер_П_95_Престиж_;;;0;1339900;2025-01-21T10:44:57Z;;
2857369043;Брудер_Базис_90_Престиж;;;0;1100000;2025-01-21T11:48:42Z;;
2857569233;Брудер_П_55_Престиж;;;0;949900;2025-01-21T12:30:01Z;;
2857851386;Брудер_П_95_Престиж_;;;0;1633100;2025-01-21T13:30:01Z;;
2857991605;Брудер_ПУ_95_БР;;;0;1370000;2025-01-21T13:59:07Z;;
2858344526;Брудер_П_95_Престиж_;;;0;1339900;2025-01-21T15:14:55Z;;
2859186956;Крон_М;;;0;69000;2025-01-21T18:03:53Z;;
2860200337;Брудер_Базис_90_Престиж;;;0;1454800;2025-01-22T02:23:40Z;;
2860695668;Брудер_П_55_Престиж;;;0;949900;2025-01-22T06:04:18Z;;
2861605104;Кормушка_поилка_1.5;;;0;48900;2025-01-22T09:26:30Z;;
2861892395;Кормушка_поилка_1.5;;;0;48900;2025-01-22T10:26:15Z;;
2861917506;Брудер_ПУ_95_БР;;;0;1370000;2025-01-22T10:31:31Z;;
2862591833;Брудер_Базис_90_Престиж;;;0;1100000;2025-01-22T12:45:34Z;;
2862748182;Кормушка_поилка_1.5;;;0;48900;2025-01-22T13:19:10Z;;
2862974518;Конус_М_ОМ_4;;;0;98900;2025-01-22T14:09:38Z;;
2863239539;Кормушка_поилка_1.5;;;0;48900;2025-01-22T15:08:53Z;;
2863513575;Брудер_П_95_Престиж_;;;0;1339900;2025-01-22T16:07:08Z;;
2863513584;Брудер_П_95_Престиж_;;;0;1339900;2025-01-22T16:07:08Z;;
2863513591;Брудер_П_95_Престиж_;;;0;1339900;2025-01-22T16:07:08Z;;
2863733152;Лампа_Керам_100Вт;;;0;49000;2025-01-22T16:54:47Z;;
2864216279;Брудер_ПУ_95_БР;;;0;1370000;2025-01-22T18:39:05Z;;
2865202270;Кормушка_НетПотерь_25л_2стор;;;0;344600;2025-01-23T04:04:02Z;;
2865253100;Брудер_Базис_90_Престиж;;;0;1100000;2025-01-23T04:26:43Z;;
2865527909;Кормушка_НетПотерь_15л_1стор;;;0;220600;2025-01-23T05:56:54Z;;
2865711958;Брудер_Базис_90_Престиж;;;0;1100000;2025-01-23T06:43:12Z;;
2866255825;Брудер_ПУ_95_БР;;;0;1370000;2025-01-23T08:41:28Z;;
2867189326;Брудер_Базис_90_Престиж;;;0;1100000;2025-01-23T11:58:50Z;;
2868048795;Брудер_ПУ_95_БР;;;0;1370000;2025-01-23T15:04:09Z;;
2868085665;Брудер_Базис_90_Престиж;;;0;1191600;2025-01-23T15:12:20Z;;
2868343028;Брудер_ПУ_55_Престиж;;;0;990000;2025-01-23T16:07:41Z;;
2869820565;Кормушка_НетПотерь_20л_2стор;;;0;355800;2025-01-24T02:13:57Z;;
2869917030;Кормушка_поилка_1.5;;;0;48900;2025-01-24T03:30:15Z;;
2870233238;Кормушка_поилка_1.5;;;0;48900;2025-01-24T05:39:47Z;;
2870364047;Лампа_Керам_200Вт;;;0;49000;2025-01-24T06:17:29Z;;
2870412927;Брудер_Базис_90_Престиж;;;0;1118300;2025-01-24T06:30:33Z;;
2870538772;Кормушка_поилка_1.5;;;0;50500;2025-01-24T07:02:05Z;;
2871239960;инфракрасная_лампа_300_2шт;;;0;179000;2025-01-24T09:39:55Z;;
2871239963;Брудер_ПУ_95_БР;;;0;1415600;2025-01-24T09:39:55Z;;
2873636290;Брудер_ПУ_95_БР;;;0;1392800;2025-01-24T18:44:50Z;;
2873786180;Брудер_ПУ_95_БР;;;0;1392800;2025-01-24T19:24:36Z;;
2873865701;Лампа_Керам_100Вт;;;0;49000;2025-01-24T19:47:38Z;;
2874431405;Кормушка_поилка_1.5;;;0;42400;2025-01-25T02:57:08Z;;
2874662001;Брудер_Базис_90_Престиж;;;0;49198;2025-01-25T05:01:25Z;;
2874785472;Кормушка_НетПотерь_20л_2стор;;;0;299000;2025-01-25T05:44:41Z;;
2875253422;Кормушка_поилка_1.5;;;0;42400;2025-01-25T07:40:21Z;;
2875340901;Кормушка_поилка_1.5;;;0;42400;2025-01-25T07:58:01Z;;
2875434055;Брудер_П_95_Престиж_;;;0;1272900;2025-01-25T08:16:48Z;;
2875473798;Брудер_ПУ_95_БР;;;0;1392800;2025-01-25T08:24:52Z;;
2875981122;Брудер_ПУ_95_БР;;;0;1392800;2025-01-25T10:07:20Z;;
2875992728;Поилка_Ниппельная_ПУН30_5шт;;;0;59000;2025-01-25T10:09:42Z;;
2876350121;Брудер_П_95_Престиж_;;;0;1272900;2025-01-25T11:21:54Z;;
2876603455;Брудер_ПУ_95_БР;;;0;1392800;2025-01-25T12:13:00Z;;
2876665236;Кормушка_поилка_1.5;;;0;42400;2025-01-25T12:25:32Z;;
2876728826;Кормушка_НетПотерь_20л_1стор;;;0;274500;2025-01-25T12:38:40Z;;
2876966039;Лампа_Керам_150Вт;;;0;46500;2025-01-25T13:28:13Z;;
2876966034;Лампа_Керам_150Вт;;;0;46500;2025-01-25T13:28:13Z;;
2877278645;Брудер_П_95_Престиж_;;;0;1272900;2025-01-25T14:34:03Z;;
2877350806;инфракрасная_лампа_300_2шт;;;0;4370;2025-01-25T14:49:25Z;;
2877591161;Кормушка_НетПотерь_20л_1стор;;;0;274500;2025-01-25T15:41:53Z;;
2877591164;Кормушка_НетПотерь_20л_1стор;;;0;274500;2025-01-25T15:41:53Z;;
2877800380;Ниппельная_поилка_ПКН_9_10шт;;;0;117000;2025-01-25T16:28:03Z;;
2878147904;Брудер_П_55_Престиж;;;0;965800;2025-01-25T17:46:53Z;;
2878826527;Конус_М_ОМ_4;;;0;98900;2025-01-25T20:53:36Z;;
2879590647;Брудер_П_95_Престиж_;;;0;1272900;2025-01-26T06:17:33Z;;
2879635749;Брудер_Базис_90_Престиж;;;0;1118300;2025-01-26T06:30:13Z;;
2879676027;Брудер_Базис_90_Престиж;;;0;1118300;2025-01-26T06:41:03Z;;
2880259317;Брудер_П_95_Престиж_;;;0;1272900;2025-01-26T08:47:25Z;;
2881101240;Кормушка_поилка_1.5;;;0;53900;2025-01-26T11:30:02Z;;
2882043566;Брудер_П_95_Престиж_;;;0;1362300;2025-01-26T14:32:17Z;;
2882929227;Кормушка_НетПотерь_15л_1стор;;;0;198900;2025-01-26T17:29:59Z;;
2882929230;Кормушка_НетПотерь_15л_1стор;;;0;198900;2025-01-26T17:29:59Z;;
2883580372;Брудер_Базис_90_Престиж;;;0;1155000;2025-01-26T19:55:57Z;;
2883620902;Брудер_ПУ_95_БР;;;0;1392800;2025-01-26T20:07:25Z;;
2883682360;Брудер_ПУ_95_БР;;;0;1392800;2025-01-26T20:26:14Z;;
2884056568;Брудер_ПУ_95_БР;;;0;1392800;2025-01-27T01:26:51Z;;
2884085422;Брудер_ПУ_95_БР;;;0;1392800;2025-01-27T02:02:04Z;;
2884085740;Кормушка_НетПотерь_25л_2стор;;;0;344600;2025-01-27T02:02:26Z;;
2884169920;Брудер_ПУ_95_БР;;;0;1392800;2025-01-27T03:18:42Z;;
2884463392;Лампа_Керам_100Вт;;;0;304000;2025-01-27T05:31:58Z;;
2885013177;Брудер_П_95_Престиж_;;;0;1362300;2025-01-27T07:55:24Z;;
2885178435;Брудер_ПУ_55_Престиж;;;0;1023000;2025-01-27T08:32:47Z;;
2885283415;Брудер_ПУ_95_БР;;;0;1415600;2025-01-27T08:55:53Z;;
2885781237;Брудер_П_95_Престиж_;;;0;1384600;2025-01-27T10:45:10Z;;
2886700654;Лампа_Керам_100Вт;;;0;49200;2025-01-27T14:05:41Z;;
2886835031;Контейнер_Серый_Обыч_УсилВент;;;0;5827700;2025-01-27T14:35:50Z;;
2886892525;Брудер_П_95_Престиж_;;;0;2170200;2025-01-27T14:48:51Z;;
2887216376;Курятник_каскад2;;;0;4331100;2025-01-27T16:01:03Z;;
2887368514;Контейнер_Серый_Обыч_УсилВент;;;0;5827700;2025-01-27T16:33:42Z;;
2887481398;Брудер_Базис_90_Престиж;;;0;1180100;2025-01-27T16:58:04Z;;
2887488409;Брудер_П_95_Престиж_;;;0;1414700;2025-01-27T16:59:34Z;;
2887710067;Брудер_Базис_90_Стандарт;;;0;1105200;2025-01-27T17:46:22Z;;
2888809671;Брудер_П_95_Престиж_;;;0;1414700;2025-01-28T03:22:24Z;;
2889052174;Брудер_П_95_Престиж_;;;0;1414700;2025-01-28T05:14:31Z;;
2889098999;Брудер_П_95_Престиж_;;;0;1414700;2025-01-28T05:30:17Z;;
2889319638;Брудер_ПУ_95_БР;;;0;1446400;2025-01-28T06:35:31Z;;
2889319645;Брудер_ПУ_95_БР;;;0;1446400;2025-01-28T06:35:31Z;;
