Предмет(ы),Количество заказов,"Сумма заказов, ₽"
Брудеры,62,788252.02
"Кормушки для животных, Поилки для животных",16,21374.84
Грануляторы для комбикорма,1,81649.00
Перосъемные машины,11,39012.00
Клетки для птиц,4,48803.00
Генераторы,1,69378.00
Инкубаторы,2,23836.00
Печи туристические,0,0.00
ИТОГО,97,1072304.86
