Предмет(ы),Количество заказов,"Сумма заказов, ₽"
Брудеры,163,1996976.72
"Кормушки для животных, Поилки для животных",63,59158.47
Грануляторы для комбикорма,0,0.00
Перосъемные машины,12,51960.00
Клетки для птиц,5,18838.00
Генераторы,0,0.00
Инкубаторы,0,0.00
Печи туристические,0,0.00
ИТОГО,243,2126933.19
