Предмет(ы),Количество заказов,"Сумма заказов, ₽"
Брудеры,118,1506454.20
"Кормушки для животных, Поилки для животных",106,84329.87
Грануляторы для комбикорма,1,74730.00
Перосъемные машины,19,90114.00
Клетки для птиц,9,211651.00
Генераторы,0,0.00
Инкубаторы,6,70799.92
Печи туристические,0,0.00
Будки для собак,1,19698.00
Клетки для животных,1,11000.00
ИТОГО,261,2068776.99
