Предмет(ы),Количество заказов,"Сумма заказов, ₽"
Брудеры,71,942890.25
"Кормушки для животных, Поилки для животных",19,30335.83
Грануляторы для комбикорма,0,0.00
Перосъемные машины,7,10468.00
Клетки для птиц,3,90874.00
Генераторы,2,138756.00
Инкубаторы,0,0.00
Печи туристические,0,0.00
ИТОГО,102,1213324.08
