Предмет(ы),Количество заказов,"Сумма заказов, ₽"
Брудеры,120,1566059.95
"Кормушки для животных, Поилки для животных",95,78452.66
Грануляторы для комбикорма,1,80893.00
Перосъемные машины,17,87976.00
Клетки для птиц,6,118485.00
Генераторы,0,0.00
Инкубаторы,3,33003.00
Печи туристические,0,0.00
Будки для собак,0,0.00
Клетки для животных,1,12903.00
ИТОГО,243,1977772.61
