Номер заказа;Артикул WB;Баркод;Название товара;Количество;Цена;Дата заказа;Склад;Статус
2987478726;Брудер_Базис_90_Стандарт;;;0;1066400;2025-02-16T13:05:19Z;;complete/waiting
2987861055;Брудер_Базис_90_Престиж;;;0;1117300;2025-02-16T14:11:00Z;;complete/waiting
2988778329;Брудер_Базис_90_Престиж;;;0;1117300;2025-02-16T16:54:12Z;;complete/waiting
2989201589;Брудер_Базис_90_Престиж;;;0;1117300;2025-02-16T18:11:14Z;;complete/waiting
2989214899;Брудер_П_95_Стандарт;;;0;1320600;2025-02-16T18:13:43Z;;complete/waiting
2990140771;Брудер_ПУ_55_Престиж;;;0;1005400;2025-02-17T00:34:59Z;;complete/waiting
2990831823;Кормушка_НетПотерь_20л_2стор;;;0;310000;2025-02-17T06:14:24Z;;complete/waiting
2991283177;Брудер_П_95_Престиж_;;;0;1361300;2025-02-17T07:41:54Z;;complete/waiting
2991536776;Брудер_П_95_Престиж_;;;0;1361300;2025-02-17T08:26:08Z;;complete/waiting
2991556714;Брудер_Базис_90_Престиж;;;0;1247400;2025-02-17T08:29:39Z;;complete/waiting
2991621089;Конус_S_OM_4;;;0;83200;2025-02-17T08:40:34Z;;complete/waiting
2991621129;Конус_S_OM_4;;;0;83200;2025-02-17T08:40:34Z;;complete/waiting
2991624169;Крон_S;;;0;60100;2025-02-17T08:41:04Z;;complete/waiting
2991624176;Крон_S;;;0;60100;2025-02-17T08:41:04Z;;complete/waiting
2991624179;Крон_S;;;0;60100;2025-02-17T08:41:04Z;;complete/waiting
2991935806;Брудер_П_55_Престиж;;;0;964800;2025-02-17T09:35:51Z;;complete/waiting
2992399067;Кормушка_НетПотерь_25л_1стор;;;0;336300;2025-02-17T10:58:23Z;;complete/waiting
2992427225;Брудер_П_95_Престиж_;;;0;1361300;2025-02-17T11:03:25Z;;complete/waiting
2992427185;Брудер_П_95_Престиж_;;;0;1361300;2025-02-17T11:03:25Z;;complete/waiting
2992644744;Брудер_П_95_Престиж_;;;0;1361300;2025-02-17T11:43:06Z;;complete/waiting
2993206712;Кормушка_поилка_1.5;;;0;44500;2025-02-17T13:24:08Z;;complete/waiting
2993423463;Кормушка_НетПотерь_20л_2стор;;;0;310000;2025-02-17T14:03:45Z;;complete/waiting
2993543942;Гранулятор_3кв;;;0;7919900;2025-02-17T14:26:18Z;;complete/waiting
2993594039;Кормушка_поилка_1.5;;;0;44500;2025-02-17T14:35:45Z;;complete/waiting
2994130107;Брудер_ПУ_55_Престиж;;;0;1005400;2025-02-17T16:14:48Z;;complete/waiting
2994136738;Брудер_П_95_Стандарт;;;0;1320600;2025-02-17T16:16:00Z;;complete/waiting
2994357000;Брудер_П_95_Стандарт;;;0;1320600;2025-02-17T16:55:42Z;;complete/waiting
2994550279;Брудер_П_95_Стандарт;;;0;1320600;2025-02-17T17:30:15Z;;complete/waiting
2994900866;ПО_цып_4060;;;0;651600;2025-02-17T18:34:04Z;;complete/waiting
2995202621;Брудер_Базис_90_Престиж;;;0;1117300;2025-02-17T19:35:24Z;;complete/waiting
2995894597;Брудер_Базис_90_Престиж;;;0;1117300;2025-02-18T03:02:06Z;;complete/waiting
2996297641;Брудер_П_95_Стандарт;;;0;1320600;2025-02-18T05:23:31Z;;complete/waiting
2997188195;Кормушка_НетПотерь_15л_2стор;;;0;252000;2025-02-18T08:11:15Z;;complete/waiting
2997504735;Кормушка_поилка_1.5;;;0;44500;2025-02-18T09:04:27Z;;complete/waiting
2997772288;Кормушка_поилка_1.5;;;0;44500;2025-02-18T09:49:20Z;;complete/waiting
2997974669;Брудер_Базис_90_Стандарт;;;0;1066400;2025-02-18T10:24:22Z;;complete/waiting
2998073276;Брудер_ПУ_55_Престиж;;;0;1005400;2025-02-18T10:41:35Z;;complete/waiting
2998080771;Брудер_П_95_Стандарт;;;0;1320600;2025-02-18T10:42:53Z;;complete/waiting
2998165236;Брудер_Базис_90_Стандарт;;;0;1196500;2025-02-18T10:57:28Z;;complete/waiting
2998339578;Шпарчан_4000_Бульбар_50л;;;0;3316600;2025-02-18T11:27:45Z;;complete/waiting
2999632981;Кормушка_поилка_1.5;;;0;44500;2025-02-18T15:24:39Z;;complete/waiting
3000571067;Брудер_Базис_90_Стандарт;;;0;1066400;2025-02-18T18:14:25Z;;complete/waiting
3000962845;Кормушка_поилка_1.5;;;0;2049;2025-02-18T19:31:25Z;;complete/waiting
3001616990;Кормушка_поилка_3л;;;0;146500;2025-02-19T02:26:12Z;;complete/waiting
3002151537;Брудер_ПУ_95_Премиум;;;0;2092000;2025-02-19T05:55:04Z;;complete/waiting
3002233171;Лампа_Керам_100Вт;;;0;51600;2025-02-19T06:13:46Z;;complete/waiting
3002425357;Кормушка_поилка_1.5;;;0;2690;2025-02-19T06:53:58Z;;complete/waiting
3002425360;Кормушка_поилка_1.5;;;0;2690;2025-02-19T06:53:58Z;;complete/waiting
3002515949;Кормушка_поилка_1.5;;;0;56800;2025-02-19T07:11:43Z;;complete/waiting
3002701615;Брудер_П_55_Стандарт;;;0;899000;2025-02-19T07:46:47Z;;complete/waiting
3002729758;Брудер_Базис_90_Престиж;;;0;1098900;2025-02-19T07:51:57Z;;complete/waiting
3003005422;ПО_цып_3030;;;0;400600;2025-02-19T08:41:57Z;;complete/waiting
3003186314;Брудер_П_55_Стандарт;;;0;899000;2025-02-19T09:14:43Z;;complete/waiting
3003351947;Брудер_Базис_90_Стандарт;;;0;1048900;2025-02-19T09:45:01Z;;complete/waiting
