Предмет(ы),Количество заказов,"Сумма заказов, ₽"
Брудеры,92,1145867.93
"Кормушки для животных, Поилки для животных",44,59392.00
Грануляторы для комбикорма,0,0.00
Перосъемные машины,7,6580.00
Клетки для птиц,5,107949.00
Генераторы,0,0.00
Инкубаторы,1,11001.00
Печи туристические,0,0.00
ИТОГО,149,1330789.93
