Номер заказа;Артикул WB;Баркод;Название товара;Количество;Цена;Дата заказа;Склад;Статус
2854395227;Брудер_Базис_90_Престиж;;;0;1100000;2025-01-20T18:38:18Z;;complete
2855264647;Брудер_ПУ_95_БР;;;0;1370000;2025-01-21T02:16:33Z;;complete
2855423584;Кормушка_НетПотерь_25л_2стор;;;0;344600;2025-01-21T04:03:19Z;;complete
2856029331;Брудер_ПУ_55_Престиж;;;0;990000;2025-01-21T07:07:21Z;;complete
2856195552;инфракрасная_лампа_300_2шт;;;0;104400;2025-01-21T07:45:03Z;;complete
2857052964;Брудер_П_95_Престиж_;;;0;1339900;2025-01-21T10:43:36Z;;complete
2857059401;Брудер_П_95_Престиж_;;;0;1339900;2025-01-21T10:44:57Z;;complete
2857369043;Брудер_Базис_90_Престиж;;;0;1100000;2025-01-21T11:48:42Z;;complete
2857569233;Брудер_П_55_Престиж;;;0;949900;2025-01-21T12:30:01Z;;complete
2857851386;Брудер_П_95_Престиж_;;;0;1633100;2025-01-21T13:30:01Z;;complete
2857991605;Брудер_ПУ_95_БР;;;0;1370000;2025-01-21T13:59:07Z;;complete
2858344526;Брудер_П_95_Престиж_;;;0;1339900;2025-01-21T15:14:55Z;;complete
2859186956;Крон_М;;;0;69000;2025-01-21T18:03:53Z;;complete
2860200337;Брудер_Базис_90_Престиж;;;0;1454800;2025-01-22T02:23:40Z;;complete
2860695668;Брудер_П_55_Престиж;;;0;949900;2025-01-22T06:04:18Z;;complete
2861605104;Кормушка_поилка_1.5;;;0;48900;2025-01-22T09:26:30Z;;complete
2861892395;Кормушка_поилка_1.5;;;0;48900;2025-01-22T10:26:15Z;;complete
2861917506;Брудер_ПУ_95_БР;;;0;1370000;2025-01-22T10:31:31Z;;complete
2862591833;Брудер_Базис_90_Престиж;;;0;1100000;2025-01-22T12:45:34Z;;complete
2862748182;Кормушка_поилка_1.5;;;0;48900;2025-01-22T13:19:10Z;;complete
2862974518;Конус_М_ОМ_4;;;0;98900;2025-01-22T14:09:38Z;;complete
2863239539;Кормушка_поилка_1.5;;;0;48900;2025-01-22T15:08:53Z;;complete
2863733152;Лампа_Керам_100Вт;;;0;49000;2025-01-22T16:54:47Z;;complete
2864216279;Брудер_ПУ_95_БР;;;0;1370000;2025-01-22T18:39:05Z;;complete
2865202270;Кормушка_НетПотерь_25л_2стор;;;0;344600;2025-01-23T04:04:02Z;;complete
2865253100;Брудер_Базис_90_Престиж;;;0;1100000;2025-01-23T04:26:43Z;;complete
2865527909;Кормушка_НетПотерь_15л_1стор;;;0;220600;2025-01-23T05:56:54Z;;complete
2865711958;Брудер_Базис_90_Престиж;;;0;1100000;2025-01-23T06:43:12Z;;complete
2866255825;Брудер_ПУ_95_БР;;;0;1370000;2025-01-23T08:41:28Z;;complete
2867189326;Брудер_Базис_90_Престиж;;;0;1100000;2025-01-23T11:58:50Z;;complete
2868048795;Брудер_ПУ_95_БР;;;0;1370000;2025-01-23T15:04:09Z;;complete
2868085665;Брудер_Базис_90_Престиж;;;0;1191600;2025-01-23T15:12:20Z;;complete
2868343028;Брудер_ПУ_55_Престиж;;;0;990000;2025-01-23T16:07:41Z;;complete
2869820565;Кормушка_НетПотерь_20л_2стор;;;0;355800;2025-01-24T02:13:57Z;;complete
2869917030;Кормушка_поилка_1.5;;;0;48900;2025-01-24T03:30:15Z;;complete
2870233238;Кормушка_поилка_1.5;;;0;48900;2025-01-24T05:39:47Z;;complete
2870364047;Лампа_Керам_200Вт;;;0;49000;2025-01-24T06:17:29Z;;complete
2870412927;Брудер_Базис_90_Престиж;;;0;1118300;2025-01-24T06:30:33Z;;complete
2870538772;Кормушка_поилка_1.5;;;0;50500;2025-01-24T07:02:05Z;;complete
2871239960;инфракрасная_лампа_300_2шт;;;0;179000;2025-01-24T09:39:55Z;;complete
2871239963;Брудер_ПУ_95_БР;;;0;1415600;2025-01-24T09:39:55Z;;complete
2873636290;Брудер_ПУ_95_БР;;;0;1392800;2025-01-24T18:44:50Z;;complete
2873786180;Брудер_ПУ_95_БР;;;0;1392800;2025-01-24T19:24:36Z;;complete
2873865701;Лампа_Керам_100Вт;;;0;49000;2025-01-24T19:47:38Z;;complete
2874431405;Кормушка_поилка_1.5;;;0;42400;2025-01-25T02:57:08Z;;complete
2874662001;Брудер_Базис_90_Престиж;;;0;49198;2025-01-25T05:01:25Z;;complete
2874785472;Кормушка_НетПотерь_20л_2стор;;;0;299000;2025-01-25T05:44:41Z;;complete
2875253422;Кормушка_поилка_1.5;;;0;42400;2025-01-25T07:40:21Z;;complete
2875340901;Кормушка_поилка_1.5;;;0;42400;2025-01-25T07:58:01Z;;complete
2875434055;Брудер_П_95_Престиж_;;;0;1272900;2025-01-25T08:16:48Z;;complete
2875473798;Брудер_ПУ_95_БР;;;0;1392800;2025-01-25T08:24:52Z;;complete
2875981122;Брудер_ПУ_95_БР;;;0;1392800;2025-01-25T10:07:20Z;;complete
2875992728;Поилка_Ниппельная_ПУН30_5шт;;;0;59000;2025-01-25T10:09:42Z;;complete
2876603455;Брудер_ПУ_95_БР;;;0;1392800;2025-01-25T12:13:00Z;;complete
2876665236;Кормушка_поилка_1.5;;;0;42400;2025-01-25T12:25:32Z;;complete
2876728826;Кормушка_НетПотерь_20л_1стор;;;0;274500;2025-01-25T12:38:40Z;;complete
2876966039;Лампа_Керам_150Вт;;;0;46500;2025-01-25T13:28:13Z;;complete
2876966034;Лампа_Керам_150Вт;;;0;46500;2025-01-25T13:28:13Z;;complete
2877278645;Брудер_П_95_Престиж_;;;0;1272900;2025-01-25T14:34:03Z;;complete
2877350806;инфракрасная_лампа_300_2шт;;;0;4370;2025-01-25T14:49:25Z;;complete
2877591161;Кормушка_НетПотерь_20л_1стор;;;0;274500;2025-01-25T15:41:53Z;;complete
2877591164;Кормушка_НетПотерь_20л_1стор;;;0;274500;2025-01-25T15:41:53Z;;complete
