Предмет(ы),Количество заказов,"Сумма заказов, ₽"
Брудеры,72,935108.00
"Кормушки для животных, Поилки для животных",46,54551.15
Грануляторы для комбикорма,0,0.00
Перосъемные машины,6,89101.00
Клетки для птиц,2,10613.00
Генераторы,1,69866.00
Инкубаторы,0,0.00
Печи туристические,0,0.00
ИТОГО,127,1159239.15
