Предмет(ы),Количество заказов,"Сумма заказов, ₽"
Брудеры,91,1113470.00
"Кормушки для животных, Поилки для животных",41,39042.85
Грануляторы для комбикорма,1,81649.00
Перосъемные машины,12,95351.93
Клетки для птиц,3,10056.00
Генераторы,0,0.00
Инкубаторы,1,12224.00
Печи туристические,0,0.00
ИТОГО,149,1351793.78
