берем деталь ,Кол-во,артикул получившейся детали,Кол-во
01.00.03.РТ9,1,02.04.01.С04,1
01.00.03.РТ10,1,02.04.01.С04,1
01.00.03.РТ7,2,02.04.01.С04,1
02.02.01.14,1,02.04.01.С04,1
гибка,операция,02.04.01.С04,1
сборка,операция,02.04.01.С04,1
М4.27,"0,56",02.04.01.ГП2,
,операция,,
01.00.03.РТ8,2,02.04.01.С05,1
01.00.03.РТ11,1,02.04.01.С05,1
01.00.03.РТ12,1,02.04.01.С05,1
01.00.03.РТ6,2,02.04.01.С05,1
02.02.01.13,1,02.04.01.С05,1
02.04.01.ГП2,2,02.04.01.С05,1
гибка,операция,02.04.01.С05,1
сборка,операция,02.04.01.С05,1
М4.27,"0,22",02.04.01.ГП3,
,операция,,
01.00.03.РТ5,2,02.04.01.С06,1
02.04.01.ГП3,1,02.04.01.С06,1
гибка,операция,02.04.01.С06,1
сборка,операция,02.04.01.С06,1
02.02.01.Р32,3,02.04.01.С07,3
04.04.01.Р18,3,02.04.01.С07,3
М3.26,6,02.04.01.С07,3
гибка,операция,02.04.01.С07,1
сборка,операция,02.04.01.С07,1
02.02.01.Р13,2,02.04.01.С08,1
02.02.01.Р06,1,02.04.01.С08,1
М3.26,8,02.04.01.С08,1
гибка,операция,02.04.01.С08,1
сборка,операция,02.04.01.С08,1
02.02.01.Р10,2,02.04.01.С09,2
гибка,операция,02.04.01.С09,2
сборка,операция,02.04.01.С09,2
02.04.01. С01,,02.04.04.1,
02.04.01. С02,,02.04.04.1,
02.04.01. С03,,02.04.04.1,
02.04.01. С04,,02.04.04.1,
02.04.01. С05,,02.04.04.1,
02.04.01. С06,,02.04.04.1,
02.04.01. С07,,02.04.04.1,
02.04.01. С08,,02.04.04.1,
02.04.01. С09,,02.04.04.1,
,,,
02.01.02.РТ01,2,02.09.01.С02,4
02.01.02.РТ02,2,02.09.01.С01,4
М6.55,8,02.09.01.С01,4
гибка,операция,02.09.01.С01,4
сборка,операция,02.09.01.С01,4
02.02.01.Р32,3,02.09.01.С02,3
04.04.01.Р18,3,02.09.01.С02,3
М3.26,6,02.09.01.С02,3
гибка,операция,02.09.01.С02,3
сборка,операция,02.09.01.С02,3
02.02.01.Р16,1,02.09.01.С03,1
02.02.01.Р09,2,02.09.01.С03,1
02.02.01.Р25,2,02.09.01.С03,1
02.02.01.Р26,2,02.09.01.С03,1
М3.26,12,02.09.01.С03,1
гибка,операция,02.09.01.С03,1
сборка,операция,02.09.01.С03,1
М4.27,"0,11",02.09.01.ГП1,
гибка проволоки,операция,,
01.00.03.РТ1,2,02.09.01.С04,1
02.02.01.Р28,2,02.09.01.С04,1
02.02.01.15,2,02.09.01.С04,1
02.09.01.ГП1,1,02.09.01.С04,1
М3.26,4,02.09.01.С04,1
гибка,операция,02.09.01.С04,1
сборка,операция,02.09.01.С04,1
01.00.03.РТ9,1,02.09.01.С05,1
01.00.03.РТ10,1,02.09.01.С05,1
01.00.03.РТ7,2,02.09.01.С05,1
02.02.01.14,1,02.09.01.С05,1
гибка,операция,02.09.01.С05,1
сборка,операция,02.09.01.С05,1
М4.27,"0,56",02.09.01.ГП2,
,операция,,
01.00.03.РТ8,2,02.09.01.С06,1
01.00.03.РТ11,1,02.09.01.С06,1
01.00.03.РТ12,1,02.09.01.С06,1
01.00.03.РТ6,2,02.09.01.С06,1
02.02.01.13,1,02.09.01.С06,1
02.09.01.ГП2,1,02.09.01.С06,1
гибка,операция,02.09.01.С06,1
сборка,операция,02.09.01.С06,1
02.02.01.Р13,2,02.09.01.С07,1
02.09.01.05,1,02.09.01.С07,1
М8.36,1,02.09.01.С07,1
М8.37,1,02.09.01.С07,1
М6.56,2,02.09.01.С07,1
гибка,операция,02.09.01.С07,1
сборка,операция,02.09.01.С07,1
М4.27,"8,93",02.09.01.ГП3,
,операция,,
02.02.01.Р33,4,02.09.01.С08,1
02.09.01.ГП3,,02.09.01.С08,1
гибка,операция,02.09.01.С08,1
сборка,операция,02.09.01.С08,1
М4.27,"0,22",02.09.01.ГП4,
,операция,,
01.00.03.РТ5,2,02.09.01.С09,1
02.09.01.ГП4,1,02.09.01.С09,1
гибка,операция,02.09.01.С09,1
сборка,операция,02.09.01.С09,1
02.09.01. С01,4,02.09.05.1,
02.09.01. С02,3,02.09.05.1,
02.09.01. С03,1,02.09.05.1,
02.09.01. С04,1,02.09.05.1,
02.09.01. С05,1,02.09.05.1,
02.09.01. С06,1,02.09.05.1,
02.09.01. С07,1,02.09.05.1,
02.09.01. С08,1,02.09.05.1,
02.09.01. С09,1,02.09.05.1,
,,,
01.00.03.РТ13,2,02.02.01.С01,4
01.00.03.РТ14,2,02.02.01.С01,4
М6.55,8,02.02.01.С01,4
гибка,операция,02.02.01.С01,4
сборка,операция,02.02.01.С01,4
02.02.01.Р16,1,02.02.01.С02,1
02.02.01.Р09,2,02.02.01.С02,1
02.02.01.Р25,2,02.02.01.С02,1
02.02.01.Р26,2,02.02.01.С02,1
М3.26,12,02.02.01.С02,1
гибка,операция,02.02.01.С02,1
сборка,операция,02.02.01.С02,1
М4.27,"0,11",02.02.01.ГП1,
гибка проволоки,операция,,
01.00.03.РТ1,2,02.02.01.С03,1
02.02.01.Р28,2,02.02.01.С03,1
02.02.01.15,2,02.02.01.С03,1
02.02.01.ГП1,1,02.02.01.С03,1
М3.26,4,02.02.01.С03,1
гибка,операция,02.02.01.С03,1
сборка,операция,02.02.01.С03,1
01.00.03.РТ9,1,02.02.01.С04,1
01.00.03.РТ10,1,02.02.01.С04,1
01.00.03.РТ7,2,02.02.01.С04,1
02.02.01.14,1,02.02.01.С04,1
гибка,операция,02.02.01.С04,1
сборка,операция,02.02.01.С04,1
М4.27,"0,56",02.02.01.ГП2,
,операция,,
01.00.03.РТ8,2,02.02.01.С05,1
01.00.03.РТ11,1,02.02.01.С05,1
01.00.03.РТ12,1,02.02.01.С05,1
01.00.03.РТ6,2,02.02.01.С05,1
02.02.01.13,1,02.02.01.С05,1
02.02.01.ГП2,1,02.02.01.С05,1
гибка,операция,02.02.01.С05,1
сборка,операция,02.02.01.С05,1
М4.27,"0,22",02.02.01.ГП3,
,операция,,
01.00.03.РТ5,2,02.02.01.С06,1
02.02.01.ГП3,1,02.02.01.С06,1
гибка,операция,02.02.01.С06,1
сборка,операция,02.02.01.С06,1
02.02.01.Р20,4,02.02.01.С07,1
02.02.01.Р23,2,02.02.01.С07,1
02.02.01.Р24,2,02.02.01.С07,1
гибка,операция,02.02.01.С07,1
сборка,операция,02.02.01.С07,1
02.02.01.Р05,2,02.02.01.С08,1
02.02.01.Р18,2,02.02.01.С08,1
02.02.01.Р19,2,02.02.01.С08,1
02.02.01.Р27,4,02.02.01.С08,1
02.02.01.Р36,4,02.02.01.С08,1
гибка,операция,02.02.01.С08,1
сборка,операция,02.02.01.С08,1
М4.27,"1,9",02.02.01.ГП4,
,операция,,
02.02.01.Р01,1,02.02.01.С09,1
02.02.01.ГП4,1,02.02.01.С09,1
гибка,операция,02.02.01.С09,1
сборка,операция,02.02.01.С09,1
02.02.01.Р13,2,02.02.01.С10,1
02.02.01.Р06,1,02.02.01.С10,1
М3.26,8,02.02.01.С10,1
гибка,операция,02.02.01.С10,1
сборка,операция,02.02.01.С10,1
02.02.01. С01,,02.02.04.1,
02.02.01. С02,,02.02.04.1,
02.02.01. С03,,02.02.04.1,
02.02.01. С04,,02.02.04.1,
02.02.01. С05,,02.02.04.1,
02.02.01. С06,,02.02.04.1,
02.02.01. С07,,02.02.04.1,
02.02.01. С08,,02.02.04.1,
02.02.01. С09,,02.02.04.1,
02.02.01. С10,,02.02.04.1,
,,,
01.00.03.РТ13,2,02.12.01.С01,4
01.00.03.РТ14,2,02.12.01.С01,4
М6.55,8,02.12.01.С01,4
гибка,операция,02.12.01.С01,4
сборка,операция,02.12.01.С01,4
02.02.01.Р16,1,02.12.01.С02,1
02.02.01.Р09,2,02.12.01.С02,1
02.02.01.Р25,2,02.12.01.С02,1
02.02.01.Р26,2,02.12.01.С02,1
М3.26,12,02.12.01.С02,1
гибка,операция,02.12.01.С02,1
сборка,операция,02.12.01.С02,1
М4.27,"0,11",02.12.01.ГП1,
гибка проволоки,операция,,
01.00.03.РТ1,2,02.12.01.С03,1
02.02.01.Р28,2,02.12.01.С03,1
02.02.01.15,2,02.12.01.С03,1
02.12.01.ГП1,1,02.12.01.С03,1
М3.26,4,02.12.01.С03,1
гибка,операция,02.12.01.С03,1
сборка,операция,02.12.01.С03,1
01.00.03.РТ9,1,02.12.01.С04,1
01.00.03.РТ10,1,02.12.01.С04,1
01.00.03.РТ7,2,02.12.01.С04,1
02.02.01.14,1,02.12.01.С04,1
гибка,операция,02.12.01.С04,1
сборка,операция,02.12.01.С04,1
М4.27,"0,56",02.12.01.ГП2,
,операция,,
01.00.03.РТ8,2,02.12.01.С05,1
01.00.03.РТ11,1,02.12.01.С05,1
01.00.03.РТ12,1,02.12.01.С05,1
01.00.03.РТ6,2,02.12.01.С05,1
02.02.01.13,1,02.12.01.С05,1
02.12.01.ГП2,2,02.12.01.С05,1
гибка,операция,02.12.01.С05,1
сборка,операция,02.12.01.С05,1
М4.27,"0,22",02.12.01.ГП3,
,операция,,
01.00.03.РТ5,2,02.12.01.С06,1
02.12.01.ГП3,1,02.12.01.С06,1
гибка,операция,02.12.01.С06,1
сборка,операция,02.12.01.С06,1
02.02.01.Р20,4,02.12.01.С07,1
02.02.01.Р23,2,02.12.01.С07,1
02.02.01.Р24,2,02.12.01.С07,1
гибка,операция,02.12.01.С07,1
сборка,операция,02.12.01.С07,1
02.02.01.Р05,2,02.12.01.С08,1
02.02.01.Р18,2,02.12.01.С08,1
02.02.01.Р19,2,02.12.01.С08,1
02.02.01.Р27,4,02.12.01.С08,1
02.02.01.Р36,4,02.12.01.С08,1
гибка,операция,02.12.01.С08,1
сборка,операция,02.12.01.С08,1
М4.27,"1,9",02.12.01.ГП4,
,операция,,
02.02.01.Р01,1,02.12.01.С09,1
02.12.01.ГП4,1,02.12.01.С09,1
гибка,операция,02.12.01.С09,1
сборка,операция,02.12.01.С09,1
02.02.01.Р13,2,02.12.01.С10,1
02.09.01.05,1,02.12.01.С10,1
М8.36,1,02.12.01.С10,1
М8.37,1,02.12.01.С10,1
М6.56,2,02.12.01.С10,1
гибка,операция,02.12.01.С10,1
сборка,операция,02.12.01.С10,1
02.12.01. С01,,02.12.04.1,
02.12.01. С02,,02.12.04.1,
02.12.01. С03,,02.12.04.1,
02.12.01. С04,,02.12.04.1,
02.12.01. С05,,02.12.04.1,
02.12.01. С06,,02.12.04.1,
02.12.01. С07,,02.12.04.1,
02.12.01. С08,,02.12.04.1,
02.12.01. С09,,02.12.04.1,
02.12.01. С10,,02.12.04.1,
,,,
02.12.01.РТ02,2,02.01.01.СО1,
02.12.01.РТ03,2,02.01.01.СО1,
М6.55,8,02.01.01.СО1,
гибка,операция,02.01.01.СО1,
сборка,операция,02.01.01.СО1,
02.01.01.Р03,1,02.01.01.СО2,
02.01.01.Р04,2,02.01.01.СО2,
02.02.01.Р25,2,02.01.01.СО2,
02.02.01.Р26,2,02.01.01.СО2,
М3.26,12,02.01.01.СО2,
гибка,операция,02.01.01.СО2,
сборка,операция,02.01.01.СО2,
М4.27,"5,76",02.01.01.ГП1,
,операция,,
02.12.01.РТ04,2,02.01.01.СО3,
02.02.01.Р22,2,02.01.01.СО3,
02.01.01.ГП1,1,02.01.01.СО3,
М3.26,4,02.01.01.СО3,
гибка,операция,02.01.01.СО3,
сборка,операция,02.01.01.СО3,
02.01.01.Р01,1,02.01.01.СО4,
02.01.01.Р06,1,02.01.01.СО4,
М6.56,2,02.01.01.СО4,
М3.26,8,02.01.01.СО4,
гибка,операция,02.01.01.СО4,
сборка,операция,02.01.01.СО4,
02.01.01.Р05,2,02.01.01.СО5,
гибка,операция,02.01.01.СО5,
сборка,операция,02.01.01.СО5,
М4.27,"0,56",02.01.01.ГП2,
,операция,,
02.12.01.РТ06,1,02.01.01.СО6,
02.12.01.РТ07,1,02.01.01.СО6,
02.12.01.РТ11,2,02.01.01.СО6,
02.12.01.РТ13,2,02.01.01.СО6,
02.12.01.10,1,02.01.01.СО6,
02.01.01.ГП2,2,02.01.01.СО6,
02.01.01.Р07,1,02.01.01.СО6,
02.01.01.Р09,20,02.01.01.СО6,
гибка,операция,02.01.01.СО6,
сборка,операция,02.01.01.СО6,
02.12.01.РТ09,1,02.01.01.СО7,
02.12.01.РТ10,1,02.01.01.СО7,
02.12.01.РТ12,2,02.01.01.СО7,
02.02.01.14,1,02.01.01.СО7,
02.01.01.Р10,18,02.01.01.СО7,
гибка,операция,02.01.01.СО7,
сборка,операция,02.01.01.СО7,
02.02.01.Р27,4,02.01.01.СО8,
02.02.01.Р18,2,02.01.01.СО8,
02.02.01.Р19,2,02.01.01.СО8,
02.02.01.Р36,4,02.01.01.СО8,
02.02.01.Р05,2,02.01.01.СО8,
М3.26,26,02.01.01.СО8,
гибка,операция,02.01.01.СО8,
сборка,операция,02.01.01.СО8,
М4.27,"1,9",02.01.01.ГП3,
,операция,,
02.02.01.Р01,1,02.01.01.СО9,
02.01.01.ГП3,1,02.01.01.СО9,
гибка,операция,02.01.01.СО9,
сборка,операция,02.01.01.СО9,
02.03.01.СО1,,02.10.04.1,
02.03.01.СО2,,02.10.04.1,
02.03.01.СО3,,02.10.04.1,
02.03.01.СО4,,02.10.04.1,
02.03.01.СО5,,02.10.04.1,
02.03.01.СО6,,02.10.04.1,
02.03.01.СО7,,02.10.04.1,
02.03.01.СО8,,02.10.04.1,
02.03.01.СО9,,02.10.04.1,
,,,
02.12.01.РТ02,2,02.03.01.СО1,
02.12.01.РТ03,2,02.03.01.СО1,
М6.55,8,02.03.01.СО1,
гибка,операция,02.03.01.СО1,
сборка,операция,02.03.01.СО1,
02.03.01.Р03,1,02.03.01.СО2,
02.02.01.Р09,2,02.03.01.СО2,
02.02.01.Р25,2,02.03.01.СО2,
02.02.01.Р26,2,02.03.01.СО2,
М3.26,12,02.03.01.СО2,
гибка,операция,02.03.01.СО2,
сборка,операция,02.03.01.СО2,
М4.27,"5,76",02.03.01.ГП1,
,операция,,
02.12.01.РТ04,2,02.03.01.СО3,
02.02.01.Р28,2,02.03.01.СО3,
02.03.01.ГП1,,02.03.01.СО3,
М3.26,4,02.03.01.СО3,
гибка,операция,02.03.01.СО3,
сборка,операция,02.03.01.СО3,
02.01.01.Р01,1,02.03.01.СО4,
02.03.01.Р02,1,02.03.01.СО4,
М6.56,2,02.03.01.СО4,
М3.26,8,02.03.01.СО4,
гибка,операция,02.03.01.СО4,
сборка,операция,02.03.01.СО4,
02.03.01.Р01,2,02.03.01.СО5,
гибка,операция,02.03.01.СО5,
сборка,операция,02.03.01.СО5,
М4.27,"0,56",02.03.01.ГП2,
,операция,,
02.12.01.РТ06,1,02.03.01.СО6,
02.12.01.РТ07,1,02.03.01.СО6,
02.12.01.РТ11,2,02.03.01.СО6,
02.12.01.РТ13,2,02.03.01.СО6,
02.03.01.ГП2,2,02.03.01.СО6,
02.03.01.03,1,02.03.01.СО6,
02.01.01.Р07,1,02.03.01.СО6,
02.01.01.Р09,20,02.03.01.СО6,
гибка,операция,02.03.01.СО6,
сборка,операция,02.03.01.СО6,
02.12.01.РТ09,1,02.03.01.СО7,
02.12.01.РТ10,1,02.03.01.СО7,
02.12.01.РТ12,2,02.03.01.СО7,
02.02.01.14,1,02.03.01.СО7,
02.01.01.Р10,18,02.03.01.СО7,
гибка,операция,02.03.01.СО7,
сборка,операция,02.03.01.СО7,
02.02.01.Р27,4,02.03.01.СО8,
02.02.01.Р18,2,02.03.01.СО8,
02.02.01.Р19,2,02.03.01.СО8,
02.02.01.Р36,4,02.03.01.СО8,
02.02.01.Р05,2,02.03.01.СО8,
М3.26,26,02.03.01.СО8,
гибка,операция,02.03.01.СО8,
сборка,операция,02.03.01.СО8,
