Раскрой,Деталь,Фото,,Название операции,конусы,ширина листа,длина листа,площ.листа,площ детали,кол-во на листе,кол-во в изделии,площ всех дет.одного вида,% на листе,площадь детали с учетом отходов,,"периметр, мм",% от сумм периметров и отверстий,мин,сек,общее время резки  листа,количество отверстий,время резки детали,,,,,,,,
01.00.03.02,01.00.03.Р06,,,резка металического листа,"оц.0,35",1250,2000,25000,69552,14,2,9737,"44,3",791,11077,1895,"4,1",,,1258,13,26,,,,,,05.02.01,05.02.01,
01.00.03.02,01.00.03.Р07,,,резка металического листа,"оц.0,35",1250,2000,25000,15359,8,2,1229,"5,6",175,1398,512,"1,2",,,1258,5,8,,,,,,05.03.01,05.03.01,
01.00.03.02,01.00.03.Р04,,,резка металического листа,"оц.0,35",1250,2000,25000,59700,2,2,1194,"5,4",679,1358,1742,"3,3",,,1258,6,20,,,,,,06.01.01,06.01.01,
,,,,,,1250,2000,25000,,,,0,"0,0",0,0,,"0,0",,,1258,,0,,,,,,06.02.01,06.02.01,
,,,,,,,,,,,,21975,"12,1",,25000,60808,766,,,,37,79,,,,,,06.03.01,06.03.01,
,,,,,,,,,,,,,% отхода,,проверка,общ периметр,,,,,общ кол отвер,провер врем рез,,,,,,07.01.01,07.01.01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,07.02.01,07.02.01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,07.03.01,07.03.01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,08.01.01,08.01.01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,09.01.01,09.01.01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,09.02.01,09.02.01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,09.03.01,09.03.01,
,,Фото,,Название операции,01.00.03.03,ширина листа,длина листа,площ.листа,площ детали,кол-во на листе,кол-во в изделии,площ всех дет.одного вида,% на листе,площадь детали с учетом отходов,,"периметр, мм",% от сумм периметров и отверстий,мин,сек,общее время резки  листа,количество отверстий,время резки детали,,,,,,09.04.01,09.04.01,
01.00.03.03,01.00.03.Р01,,,4,"оц.0,35",1250,2000,25000,101751,14,2,14245,"59,8",1067,14942,2396,"4,9",17,43,1063,18,26,,,,,,10.01.01,10.01.01,
01.00.03.03,01.00.03.Р08,,,резка металического листа,"оц.0,35",1250,2000,25000,52499,8,2,4200,"17,6",551,4405,1550,"2,8",,,1063,6,15,,,,,,10.02.01,10.02.01,
01.00.03.03,01.00.03.Р09,,,резка металического листа,"оц.0,35",1250,2000,25000,48300,6,2,2898,"12,2",507,3040,1538,"2,7",,,1063,6,15,,,,,,11.01.01,11.01.01,
01.00.03.03,01.00.03.Р10,,,резка металического листа,"оц.0,35",1250,2000,25000,3675,10,2,368,"1,5",39,385,400,"0,7",,,1063,2,4,,,,,,11.01.02,11.01.02,
01.00.03.03,01.00.03.Р04,,,резка металического листа,"оц.0,35",1250,2000,25000,59700,2,2,1194,"5,0",626,1252,1742,"3,0",,,1063,6,16,,,,,,11.01.03,11.01.03,
01.00.03.03,01.00.03.Р11,,,резка металического листа,"оц.0,35",1250,2000,25000,92960,1,2,930,"3,9",975,975,1884,"3,8",,,1063,13,20,,,,,,11.01.04,11.01.04,
,,,,,,,,,,,,23834,"4,7",,25000,64540,676,,,,51,96,,,,,,,,
,,,,,,,,,,,,,% отхода,,проверка,общ периметр,,,,,общ кол отвер,провер врем рез,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Фото,,Название операции,01.00.03.04,ширина листа,длина листа,площ.листа,площ детали,кол-во на листе,кол-во в изделии,площ всех дет.одного вида,% на листе,площадь детали с учетом отходов,,"периметр, мм",% от сумм периметров и отверстий,мин,сек,общее время резки  листа,количество отверстий,время резки детали,,,,,,,,
01.00.03.04,01.00.03.Р11,,,резка металического листа,"оц.0,35",1250,2000,25000,92960,13,2,12085,"51,7",994,12928,1884,"4,4",15,41,941,13,21,,,,,,,,
01.00.03.04,01.00.03.Р12,,,резка металического листа,"оц.0,35",1250,2000,25000,59220,14,2,8291,"35,5",634,8869,1448,"3,1",,,941,6,14,,,,,,,,
01.00.03.04,01.00.03.Р07,,,резка металического листа,"оц.0,35",1250,2000,25000,15359,6,2,922,"3,9",164,986,512,"1,3",,,941,5,6,,,,,,,,
01.00.03.04,01.00.03.Р13,,,резка металического листа,"оц.0,35",1250,2000,25000,18095,5,5,905,"3,9",194,968,646,"1,3",,,941,2,2,,,,,,,,
01.00.03.04,01.00.03.Р14,,,резка металического листа,"оц.0,35",1250,2000,25000,18248,3,3,547,"2,3",195,586,531,"1,1",,,941,2,3,,,,,,,,
01.00.03.04,01.00.03.Р15,,,резка металического листа,"оц.0,35",1250,2000,25000,16012,2,2,320,"1,4",171,343,642,"2,0",,,941,10,9,,,,,,,,
01.00.03.04,01.00.03.Р16,,,,"оц.0,35",1250,2000,25000,29968,1,2,300,"1,3",321,321,1037,"2,3",,,941,5,11,,,,,,,,
,,,,,,,,,,,,23369,"6,5",,25000,54980,815,,,,43,67,,,,,,,,
,,,,,,,,,,,,,% отхода,,проверка,общ периметр,,,,,общ кол отвер,провер врем рез,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Фото,,Название операции,01.00.03.05,ширина листа,длина листа,площ.листа,площ детали,кол-во на листе,кол-во в изделии,площ всех дет.одного вида,% на листе,площадь детали с учетом отходов,,"периметр, мм",% от сумм периметров и отверстий,мин,сек,общее время резки  листа,количество отверстий,время резки детали,,,,,,,,
01.00.03.05,01.00.03.Р17,,,резка металического листа,"оц.0,35",1250,2000,25000,72220,14,2,"10110,8","42,547","759,76",10637,1754,"28,8",18,40,1120,13,161,,,,,,,,
01.00.03.05,01.00.03.Р18,,,резка металического листа,"оц.0,35",1250,2000,25000,32174,14,2,"4504,36","18,955","338,47",4739,1280,"18,9",,,1120,6,106,,,,,,,,
01.00.03.05,01.00.03.Р19,,,резка металического листа,"оц.0,35",1250,2000,25000,38713,14,2,"5419,82","22,807","407,27",5702,1518,"21,8",,,1120,6,122,,,,,,,,
01.00.03.05,01.00.03.Р04,,,резка металического листа,"оц.0,35",1250,2000,25000,59700,6,2,3582,"15,073","628,05",3768,1742,"24,5",,,1120,6,137,,,,,,,,
01.00.03.05,01.00.03.Р10,,,резка металического листа,"оц.0,35",1250,2000,25000,3675,4,2,147,"0,619","38,66",155,400,"6,0",,,1120,2,34,,,,,,,,
,,,,,,,,,,,,"23763,98","4,9",,25000,6694,,,,,33,,,,,,,,,
,,,,,,,,,,,,,% отхода,,проверка,общ периметр,,,,,общ кол отвер,провер врем рез,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
