Раскрой,Деталь,Фото,,Название операции,конусы,ширина листа,длина листа,площ.листа,площ детали,кол-во на листе,кол-во в изделии,площ всех дет.одного вида,% на листе,площадь детали с учетом отходов,,"периметр, мм",% от сумм периметров и отверстий,мин,сек,общее время резки  листа,количество отверстий,время резки детали,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Фото,,Название операции,02.12.01.06,ширина листа,длина листа,площ.листа,площ детали,кол-во на листе,кол-во в изделии,площ всех дет.одного вида,% на листе,площадь детали с учетом отходов,,"периметр, мм",% от сумм периметров и отверстий,мин,сек,общее время резки  листа,количество отверстий,время резки детали,,,,,,,,
02.12.01.06,02.02.01.Р18,,,резка металического листа,"оц.0,55",1250,2200,27500,52589,21,2,"11043,69","43,859","574,34",12061,1471,"25,7",,,0,4,0,,,,,,,,
02.12.01.06,02.02.01.Р19,,,резка металического листа,"оц.0,55",1250,2200,27500,51775,21,2,"10872,75","43,180","565,45",11874,1462,"25,5",,,0,4,0,,,,,,,,
02.12.01.06,02.02.01.Р20,,,резка металического листа,"оц.0,55",1250,2200,27500,15650,10,4,1565,"6,215","170,92",1709,1236,"24,4",,,0,7,0,,,,,,,,
02.12.01.06,02.02.01.Р21,,,резка металического листа,"оц.0,55",1250,2200,27500,16988,10,4,"1698,8","6,747","185,53",1855,1240,"24,4",,,0,7,0,,,,,,,,
,,,,,,1250,2200,27500,,,,0,"0,000","0,00",0,,"0,0",,,0,,0,,,,,,,,
,,,,,,,,,,,,"25180,24","8,4",,27500,5409,,,,,22,,,,,,,,,
,,,,,,,,,,,,,% отхода,,проверка,общ периметр,,,,,общ кол отвер,провер врем рез,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Фото,,Название операции,02.12.01.07,ширина листа,длина листа,площ.листа,площ детали,кол-во на листе,кол-во в изделии,площ всех дет.одного вида,% на листе,площадь детали с учетом отходов,,"периметр, мм",% от сумм периметров и отверстий,мин,сек,общее время резки  листа,количество отверстий,время резки детали,,,,,,,,
02.12.01.07,02.02.01.Р20,,,резка металического листа,"оц.0,55",1250,2200,27500,15650,78,4,12207,"47,604","167,84",13091,1236,"40,4",,,0,7,0,,,,,,,,
02.12.01.07,02.02.01.Р21,,,резка металического листа,"оц.0,55",1250,2200,27500,16988,76,4,"12910,88","50,349","182,18",13846,1240,"40,5",,,0,7,0,,,,,,,,
02.12.01.07,02.02.01.Р22,,,резка металического листа,"оц.0,55",1250,2200,27500,7498,7,,"524,86","2,047","80,41",563,650,"19,1",,,0,2,0,,,,,,,,
,,,,,,1250,2200,27500,,,,0,"0,000","0,00",0,,"0,0",,,0,,0,,,,,,,,
,,,,,,1250,2200,27500,,,,0,"0,000","0,00",0,,"0,0",,,0,,0,,,,,,,,
,,,,,,,,,,,,"25642,74","6,8",,27500,3126,,,,,16,,,,,,,,,
,,,,,,,,,,,,,% отхода,,проверка,общ периметр,,,,,общ кол отвер,провер врем рез,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Фото,,Название операции,02.12.01.08,ширина листа,длина листа,площ.листа,площ детали,кол-во на листе,кол-во в изделии,площ всех дет.одного вида,% на листе,площадь детали с учетом отходов,,"периметр, мм",% от сумм периметров и отверстий,мин,сек,общее время резки  листа,количество отверстий,время резки детали,,,,,,,,
02.12.01.08,02.02.01.Р23,,,резка металического листа,"оц.0,55",1250,2200,27500,71702,12,2,"8604,24","32,590","746,85",8962,2720,"46,1",,,0,4,0,,,,,,,,
02.12.01.08,02.02.01.Р24,,,резка металического листа,"оц.0,55",1250,2200,27500,66900,25,2,16725,"63,348","696,83",17421,2530,"43,1",,,0,4,0,,,,,,,,
02.12.01.08,02.02.01.Р25,,,резка металического листа,"оц.0,55",1250,2200,27500,1250,37,,"462,5","1,752","13,02",482,136,"4,5",,,0,3,0,,,,,,,,
02.12.01.08,02.02.01.Р26,,,резка металического листа,"оц.0,55",1250,2200,27500,3050,20,,610,"2,310","31,77",635,254,"6,4",,,0,3,0,,,,,,,,
,,,,,,1250,2200,27500,,,,0,"0,000","0,00",0,,"0,0",,,0,,0,,,,,,,,
,,,,,,,,,,,,"26401,74","4,0",,27500,5640,,,,,14,,,,,,,,,
,,,,,,,,,,,,,% отхода,,проверка,общ периметр,,,,,общ кол отвер,провер врем рез,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Фото,,Название операции,02.12.01.09,ширина листа,длина листа,площ.листа,площ детали,кол-во на листе,кол-во в изделии,площ всех дет.одного вида,% на листе,площадь детали с учетом отходов,,"периметр, мм",% от сумм периметров и отверстий,мин,сек,общее время резки  листа,количество отверстий,время резки детали,,,,,,,,
02.12.01.09,02.02.01.Р27,,,резка металического листа,"оц.0,70",1250,2000,25000,11127,179,4,"19917,33","94,984","132,66",23746,422,"64,6",,,0,7,0,,,,,,,,
02.12.01.09,02.02.01.Р28,,,резка металического листа,"оц.0,70",1250,2000,25000,5843,18,2,"1051,74","5,016","69,66",1254,323,"35,4",,,0,2,0,,,,,,,,
,,,,,,1250,2000,25000,,,,0,"0,000","0,00",0,,"0,0",,,0,,0,,,,,,,,
,,,,,,1250,2000,25000,,,,0,"0,000","0,00",0,,"0,0",,,0,,0,,,,,,,,
,,,,,,1250,2000,25000,,,,0,"0,000","0,00",0,,"0,0",,,0,,0,,,,,,,,
,,,,,,,,,,,,"20969,07","16,1",,25000,745,,,,,9,,,,,,,,,
,,,,,,,,,,,,,% отхода,,проверка,общ периметр,,,,,общ кол отвер,провер врем рез,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Фото,,Название операции,02.12.01.10,ширина листа,длина листа,площ.листа,площ детали,кол-во на листе,кол-во в изделии,площ всех дет.одного вида,% на листе,площадь детали с учетом отходов,,"периметр, мм",% от сумм периметров и отверстий,мин,сек,общее время резки  листа,количество отверстий,время резки детали,,,,,,,,
02.12.01.10,сетка зад стену кур бро,,,резка металического листа,50х15.2,1000,1050,10500,384374,2,,"7687,48","100,000","5250,00",10500,,"0,0",,,0,,0,,,,,,,,
,,,,,,1000,1050,10500,,,,0,"0,000","0,00",0,,"0,0",,,0,,0,,,,,,,,
,,,,,,1000,1050,10500,,,,0,"0,000","0,00",0,,"0,0",,,0,,0,,,,,,,,
,,,,,,1000,1050,10500,,,,0,"0,000","0,00",0,,"0,0",,,0,,0,,,,,,,,
,,,,,,1000,1050,10500,,,,0,"0,000","0,00",0,,"0,0",,,0,,0,,,,,,,,
,,,,,,,,,,,,"7687,48","26,8",,10500,0,,,,,0,,,,,,,,,
,,,,,,,,,,,,,% отхода,,проверка,общ периметр,,,,,общ кол отвер,провер врем рез,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Фото,,Название операции,02.12.01.11,ширина листа,длина листа,площ.листа,площ детали,кол-во на листе,кол-во в изделии,площ всех дет.одного вида,% на листе,площадь детали с учетом отходов,,"периметр, мм",% от сумм периметров и отверстий,мин,сек,общее время резки  листа,количество отверстий,время резки детали,,,,,,,,
02.12.01.11,сетка пол кур бройлер,,,резка металического листа,50х15.2,1000,565,5650,549999,1,1,"5499,99","100,000","5650,00",5650,,"0,0",,,0,,0,,,,,,,,
,,,,,,1000,565,5650,,,,0,"0,000","0,00",0,,"0,0",,,0,,0,,,,,,,,
,,,,,,1000,565,5650,,,,0,"0,000","0,00",0,,"0,0",,,0,,0,,,,,,,,
,,,,,,1000,565,5650,,,,0,"0,000","0,00",0,,"0,0",,,0,,0,,,,,,,,
,,,,,,1000,565,5650,,,,0,"0,000","0,00",0,,"0,0",,,0,,0,,,,,,,,
,,,,,,,,,,,,"5499,99","2,7",,5650,0,,,,,0,,,,,,,,,
,,,,,,,,,,,,,% отхода,,проверка,общ периметр,,,,,общ кол отвер,провер врем рез,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Название операции,02.12.01.12,ширина рулона,длина куска сетки,площ.куска сетки ,площ детали,кол-во  на куске,,площ всех дет.одного вида,% на листе,площадь детали с учетом отходов,,"периметр, мм",% от сумм периметров и отверстий,мин,сек,общее время резки  листа,количество отверстий,время резки детали,,,,,,,,
02.12.01.12,сетка крыша ,,,резка металического листа,25х25.1.6,1000,550,5500,516750,1,1,"5167,5","100,000","5500,00",5500,,"0,0",,,0,,0,,,,,,,,
,,,,,,,,,,,,0,"0,000","0,00",0,,"0,0",,,0,,0,,,,,,,,
,,,,,,,,,,,,0,"0,000","0,00",0,,"0,0",,,0,,0,,,,,,,,
,,,,,,,,,,,,0,"0,000","0,00",0,,"0,0",,,0,,0,,,,,,,,
,,,,,,,,,,,,0,"0,000","0,00",0,,"0,0",,,0,,0,,,,,,,,
,,,,,,,,,,,,"5167,5","6,0",,5500,0,,,,,0,,,,,,,,,
,,,,,,,,,,,,,% отхода,,проверка,общ периметр,,,,,общ кол отвер,провер врем рез,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Клетка для Кур-несушек ""MultiPro"" люкс-сетка 1-12  ",,,,,,,,,,,,,,,,,,,,,,,
,,Фото,,Название операции,02.01.01.01,ширина листа,длина листа,площ.листа,площ детали,кол-во на листе,кол-во в изделии,площ всех дет.одного вида,% на листе,площадь детали с учетом отходов,,"периметр, мм",% от сумм периметров и отверстий,мин,сек,общее время резки  листа,количество отверстий,время резки детали,,,,,,,,
02.01.01.01,02.01.01.Р01,,,резка металического листа,"оц.0,35",1250,2000,25000,108991,6,1,"6539,46","28,276","1178,15",7069,1504,"30,7",25,36,1536,7,471,,,,,,,,
02.01.01.01,02.01.01.Р02,,,резка металического листа,"оц.0,35",1250,2000,25000,266,300,,798,"3,450","2,88",863,69,"2,8",,,1536,2,0,,,,,,,,
02.01.01.01,02.01.01.Р03,,,резка металического листа,"оц.0,35",1250,2000,25000,306343,5,1,"15317,15","66,229","3311,45",16557,2631,"53,5",,,1536,12,821,,,,,,,,
02.01.01.01,02.01.01.Р04,,,резка металического листа,"оц.0,35",1250,2000,25000,11824,4,2,"472,96","2,045","127,81",511,490,"13,1",,,1536,6,100,,,,,,,,
,,,,,,1250,2000,25000,,,,0,"0,000","0,00",0,,"0,0",,,1536,,0,,,,,,,,
,,,,,,,,,,,,"23127,57","7,5",,25000,4694,,,,,27,,,,,,,,,
,,,,,,,,,,,,,% отхода,,проверка,общ периметр,,,,,общ кол отвер,провер врем рез,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Фото,,Название операции,02.12.01.01,ширина листа,длина листа,площ.листа,площ детали,кол-во на листе,кол-во в изделии,площ всех дет.одного вида,% на листе,площадь детали с учетом отходов,,"периметр, мм",% от сумм периметров и отверстий,мин,сек,общее время резки  листа,количество отверстий,время резки детали,,,,,,,,
02.12.01.01,02.02.01.Р01,,,резка металического листа,"оц.0,35",1250,2000,25000,175288,12,1,"21034,56","92,313","1923,19",23078,1831,"39,0",,,0,2,0,,,,,,,,
02.12.01.01,02.02.01.Р02,,,резка металического листа,"оц.0,35",1250,2000,25000,8486,12,,"1018,32","4,469","93,11",1117,649,"15,1",,,0,2,0,,,,,,,,
02.12.01.01,02.02.01.Р03,,,резка металического листа,"оц.0,35",1250,2000,25000,50000,1,1,500,"2,194","548,58",549,2100,"42,4",,,0,,0,,,,,,,,
02.12.01.01,02.02.01.Р04,,,резка металического листа,"оц.0,35",1250,2000,25000,265,88,,"233,2","1,023","2,91",256,69,"3,4",,,0,2,0,,,,,,,,
,,,,,,1250,2000,25000,,,,0,"0,000","0,00",0,,"0,0",,,0,,0,,,,,,,,
,,,,,,,,,,,,"22786,08","8,9",,25000,4649,,,,,6,,,,,,,,,
,,,,,,,,,,,,,% отхода,,проверка,общ периметр,,,,,общ кол отвер,провер врем рез,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Фото,,Название операции,02.12.01.02,ширина листа,длина листа,площ.листа,площ детали,кол-во на листе,кол-во в изделии,площ всех дет.одного вида,% на листе,площадь детали с учетом отходов,,"периметр, мм",% от сумм периметров и отверстий,мин,сек,общее время резки  листа,количество отверстий,время резки детали,,,,,,,,
02.12.01.02,02.02.01.Р05,,,резка металического листа,"оц.0,35",1250,2000,25000,128405,18,2,"23112,9","97,500","1354,16",24375,1628,"56,3",,,0,26,0,,,,,,,,
02.12.01.02,02.02.01.Р03,,,резка металического листа,"оц.0,35",1250,2000,25000,50000,1,1,500,"2,109","527,30",527,2100,"40,4",,,0,,0,,,,,,,,
02.12.01.02,02.02.01.Р04,,,резка металического листа,"оц.0,35",1250,2000,25000,265,35,,"92,75","0,391","2,79",98,69,"3,3",,,0,2,0,,,,,,,,
,,,,,,1250,2000,25000,,,,0,"0,000","0,00",0,,"0,0",,,0,,0,,,,,,,,
,,,,,,1250,2000,25000,,,,0,"0,000","0,00",0,,"0,0",,,0,,0,,,,,,,,
,,,,,,,,,,,,"23705,65","5,2",,25000,3797,,,,,28,,,,,,,,,
,,,,,,,,,,,,,% отхода,,проверка,общ периметр,,,,,общ кол отвер,провер врем рез,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Фото,,Название операции,02.12.01.06,ширина листа,длина листа,площ.листа,площ детали,кол-во на листе,кол-во в изделии,площ всех дет.одного вида,% на листе,площадь детали с учетом отходов,,"периметр, мм",% от сумм периметров и отверстий,мин,сек,общее время резки  листа,количество отверстий,время резки детали,,,,,,,,
02.12.01.06,02.02.01.Р18,,,резка металического листа,"оц.0,55",1250,2200,27500,52589,21,2,"11043,69","43,859","574,34",12061,1471,"25,7",,,0,4,0,,,,,,,,
02.12.01.06,02.02.01.Р19,,,резка металического листа,"оц.0,55",1250,2200,27500,51775,21,2,"10872,75","43,180","565,45",11874,1462,"25,5",,,0,4,0,,,,,,,,
02.12.01.06,02.02.01.Р20,,,резка металического листа,"оц.0,55",1250,2200,27500,15650,10,4,1565,"6,215","170,92",1709,1236,"24,4",,,0,7,0,,,,,,,,
02.12.01.06,02.02.01.Р21,,,резка металического листа,"оц.0,55",1250,2200,27500,16988,10,4,"1698,8","6,747","185,53",1855,1240,"24,4",,,0,7,0,,,,,,,,
,,,,,,1250,2200,27500,,,,0,"0,000","0,00",0,,"0,0",,,0,,0,,,,,,,,
,,,,,,,,,,,,"25180,24","8,4",,27500,5409,,,,,22,,,,,,,,,
,,,,,,,,,,,,,% отхода,,проверка,общ периметр,,,,,общ кол отвер,провер врем рез,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Фото,,Название операции,02.12.01.07,ширина листа,длина листа,площ.листа,площ детали,кол-во на листе,кол-во в изделии,площ всех дет.одного вида,% на листе,площадь детали с учетом отходов,,"периметр, мм",% от сумм периметров и отверстий,мин,сек,общее время резки  листа,количество отверстий,время резки детали,,,,,,,,
02.12.01.07,02.02.01.Р20,,,резка металического листа,"оц.0,55",1250,2200,27500,15650,78,4,12207,"47,604","167,84",13091,1236,"40,4",,,0,7,0,,,,,,,,
02.12.01.07,02.02.01.Р21,,,резка металического листа,"оц.0,55",1250,2200,27500,16988,76,4,"12910,88","50,349","182,18",13846,1240,"40,5",,,0,7,0,,,,,,,,
02.12.01.07,02.02.01.Р22,,,резка металического листа,"оц.0,55",1250,2200,27500,7498,7,,"524,86","2,047","80,41",563,650,"19,1",,,0,2,0,,,,,,,,
,,,,,,1250,2200,27500,,,,0,"0,000","0,00",0,,"0,0",,,0,,0,,,,,,,,
,,,,,,1250,2200,27500,,,,0,"0,000","0,00",0,,"0,0",,,0,,0,,,,,,,,
,,,,,,,,,,,,"25642,74","6,8",,27500,3126,,,,,16,,,,,,,,,
,,,,,,,,,,,,,% отхода,,проверка,общ периметр,,,,,общ кол отвер,провер врем рез,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Фото,,Название операции,02.12.01.08,ширина листа,длина листа,площ.листа,площ детали,кол-во на листе,кол-во в изделии,площ всех дет.одного вида,% на листе,площадь детали с учетом отходов,,"периметр, мм",% от сумм периметров и отверстий,мин,сек,общее время резки  листа,количество отверстий,время резки детали,,,,,,,,
02.12.01.08,02.02.01.Р23,,,резка металического листа,"оц.0,55",1250,2200,27500,71702,12,2,"8604,24","32,590","746,85",8962,2720,"46,1",,,0,4,0,,,,,,,,
02.12.01.08,02.02.01.Р24,,,резка металического листа,"оц.0,55",1250,2200,27500,66900,25,2,16725,"63,348","696,83",17421,2530,"43,1",,,0,4,0,,,,,,,,
02.12.01.08,02.02.01.Р25,,,резка металического листа,"оц.0,55",1250,2200,27500,1250,37,,"462,5","1,752","13,02",482,136,"4,5",,,0,3,0,,,,,,,,
02.12.01.08,02.02.01.Р26,,,резка металического листа,"оц.0,55",1250,2200,27500,3050,20,,610,"2,310","31,77",635,254,"6,4",,,0,3,0,,,,,,,,
,,,,,,1250,2200,27500,,,,0,"0,000","0,00",0,,"0,0",,,0,,0,,,,,,,,
,,,,,,,,,,,,"26401,74","4,0",,27500,5640,,,,,14,,,,,,,,,
,,,,,,,,,,,,,% отхода,,проверка,общ периметр,,,,,общ кол отвер,провер врем рез,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Фото,,Название операции,02.12.01.09,ширина листа,длина листа,площ.листа,площ детали,кол-во на листе,кол-во в изделии,площ всех дет.одного вида,% на листе,площадь детали с учетом отходов,,"периметр, мм",% от сумм периметров и отверстий,мин,сек,общее время резки  листа,количество отверстий,время резки детали,,,,,,,,
02.12.01.09,02.02.01.Р27,,,резка металического листа,"оц.0,70",1250,2000,25000,11127,179,4,"19917,33","94,984","132,66",23746,422,"64,6",,,0,7,0,,,,,,,,
02.12.01.09,02.02.01.Р28,,,резка металического листа,"оц.0,70",1250,2000,25000,5843,18,2,"1051,74","5,016","69,66",1254,323,"35,4",,,0,2,0,,,,,,,,
,,,,,,1250,2000,25000,,,,0,"0,000","0,00",0,,"0,0",,,0,,0,,,,,,,,
,,,,,,1250,2000,25000,,,,0,"0,000","0,00",0,,"0,0",,,0,,0,,,,,,,,
,,,,,,1250,2000,25000,,,,0,"0,000","0,00",0,,"0,0",,,0,,0,,,,,,,,
,,,,,,,,,,,,"20969,07","16,1",,25000,745,,,,,9,,,,,,,,,
,,,,,,,,,,,,,% отхода,,проверка,общ периметр,,,,,общ кол отвер,провер врем рез,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Клетка для перепелов ""MultiPro"" Люкс-металл на 55 голов Престиж",,,,,,,,,,,,,,,,,,,,,,,
,,Фото,,Название операции,02.01.01.01,,,длина трубы,длина детали,кол-во в трубе,кол-во в изделии,длина всех дет.одного вида,% в трубе,длина детали с учетом отходов,,,,,,"общее время резки трубы, сек",,"время одного реза (время резки детали), сек",,,,,,,,
02.01.01.01,01.00.03.РТ1,,,резка металлической трубы,нерж10х10,,,6000,999,5,2,4995,"89,117","1069,40",5347,,,,,,,0,,,,,,,,
02.01.01.01,01.00.03.РТ2,,,резка металлической трубы,нерж10х10,,,6000,610,1,2,610,"10,883","652,99",653,,,,,,,0,,,,,,,,
,,,,,,,,6000,,,,0,"0,000","0,00",0,,,,,,,0,,,,,,,,
,,,,,,,,6000,,,,0,"0,000","0,00",0,,,,,,,0,,,,,,,,
,,,,,,,,6000,,,,0,"0,000","0,00",0,,,,,,,0,,,,,,,,
,,,,,,,,,,,,5605,"6,6",,6000,,,,,,,,,,,,,,,
,,,,,,,,,,,,,% отхода,,проверка,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Фото,,Название операции,02.01.01.02,,,длина трубы,длина детали,кол-во в трубе,кол-во в изделии,длина всех дет.одного вида,% в трубе,длина детали с учетом отходов,,,,,,"общее время резки трубы, сек",,"время одного реза (время резки детали), сек",,,,,,,,
02.01.01.02,01.00.03.РТ3,,,резка металлической трубы,нерж10х10,,,6000,612,4,2,2448,"43,497","652,45",2610,,,,,,,0,,,,,,,,
02.01.01.02,01.00.03.РТ4,,,резка металлической трубы,нерж10х10,,,6000,610,4,2,2440,"43,355","650,32",2601,,,,,,,0,,,,,,,,
02.01.01.02,01.00.03.РТ5,,,резка металлической трубы,нерж10х10,,,6000,210,1,2,210,"3,731","223,88",224,,,,,,,0,,,,,,,,
02.01.01.02,01.00.03.РТ6,,,резка металлической трубы,нерж10х10,,,6000,530,1,2,530,"9,417","565,03",565,,,,,,,0,,,,,,,,
,,,,,,,,6000,,,,0,"0,000","0,00",0,,,,,,,0,,,,,,,,
,,,,,,,,,,,,5628,"6,2",,6000,,,,,,,,,,,,,,,
,,,,,,,,,,,,,% отхода,,проверка,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Фото,,Название операции,02.01.01.03,,,длина трубы,длина детали,кол-во в трубе,кол-во в изделии,длина всех дет.одного вида,% в трубе,длина детали с учетом отходов,,,,,,"общее время резки трубы, сек",,"время одного реза (время резки детали), сек",,,,,,,,
02.01.01.03,01.00.03.РТ7,,,резка металлической трубы,нерж10х10,,,6000,530,5,2,2650,"48,007","576,09",2880,,,,,,,0,,,,,,,,
02.01.01.03,01.00.03.РТ8,,,резка металлической трубы,нерж10х10,,,6000,532,5,2,2660,"48,188","578,26",2891,,,,,,,0,,,,,,,,
02.01.01.03,01.00.03.РТ5,,,резка металлической трубы,нерж10х10,,,6000,210,1,2,210,"3,804","228,26",228,,,,,,,0,,,,,,,,
,,,,,,,,6000,,,,0,"0,000","0,00",0,,,,,,,0,,,,,,,,
,,,,,,,,6000,,,,0,"0,000","0,00",0,,,,,,,0,,,,,,,,
,,,,,,,,,,,,5520,"8,0",,6000,,,,,,,,,,,,,,,
,,,,,,,,,,,,,% отхода,,проверка,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Фото,,Название операции,02.01.01.04,,,длина трубы,длина детали,кол-во в трубе,кол-во в изделии,длина всех дет.одного вида,% в трубе,длина детали с учетом отходов,,,,,,"общее время резки трубы, сек",,"время одного реза (время резки детали), сек",,,,,,,,
02.01.01.04,01.00.03.РТ9,,,резка металлической трубы,нерж10х10,,,6000,1087,1,1,1087,"23,848","1430,89",1431,,,,,,,0,,,,,,,,
02.01.01.04,01.00.03.РТ10,,,резка металлической трубы,нерж10х10,,,6000,1087,1,1,1087,"23,848","1430,89",1431,,,,,,,0,,,,,,,,
02.01.01.04,01.00.03.РТ11,,,резка металлической трубы,нерж10х10,,,6000,1087,1,1,1087,"23,848","1430,89",1431,,,,,,,0,,,,,,,,
02.01.01.04,01.00.03.РТ12,,,резка металлической трубы,нерж10х10,,,6000,1087,1,1,1087,"23,848","1430,89",1431,,,,,,,0,,,,,,,,
02.01.01.04,01.00.03.РТ5,,,резка металлической трубы,нерж10х10,,,6000,210,1,2,210,"4,607","276,44",276,,,,,,,0,,,,,,,,
02.01.01.04,01.00.03.РТ6,,,резка металлической трубы,нерж10х10,,,,530,2,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,4558,"24,0",,6000,,,,,,,,,,,,,,,
,,,,,,,,,,,,,% отхода,,проверка,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Фото,,Название операции,02.01.01.05,,,длина трубы,длина детали,кол-во в трубе,кол-во в изделии,длина всех дет.одного вида,% в трубе,длина детали с учетом отходов,,,,,,"общее время резки трубы, сек",,"время одного реза (время резки детали), сек",,,,,,,,
02.01.01.05,01.00.03.РТ13,,,резка металлической трубы,нерж10х10,,,6000,492,5,2,2460,"44,614","535,36",2677,,,,,,,0,,,,,,,,
02.01.01.05,01.00.03.РТ14,,,резка металлической трубы,нерж10х10,,,6000,492,5,2,2460,"44,614","535,36",2677,,,,,,,0,,,,,,,,
02.01.01.05,01.00.03.РТ15,,,резка металлической трубы,нерж10х10,,,6000,594,1,2,594,"10,773","646,35",646,,,,,,,0,,,,,,,,
,,,,,,,,6000,,,,0,"0,000","0,00",0,,,,,,,0,,,,,,,,
,,,,,,,,6000,,,,0,"0,000","0,00",0,,,,,,,0,,,,,,,,
,,,,,,,,,,,,5514,"8,1",,6000,,,,,,,,,,,,,,,
,,,,,,,,,,,,,% отхода,,проверка,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Клетка для перепелов ""MultiPro"" База металл на 55 голов Престиж",,,,,,,,,,,,,,,,,,,,,,,
,,Фото,,Название операции,02.01.02.01,,,длина трубы,длина детали,кол-во в трубе,кол-во в изделии,длина всех дет.одного вида,% в трубе,длина детали с учетом отходов,,,,,,"общее время резки трубы, сек",,"время одного реза (время резки детали), сек",,,,,,,,
02.01.02.01,02.01.02.РТ01,,,резка металлической трубы,нерж10х10,,,6000,435,8,2,3480,"61,724","462,93",3703,,,,,,,0,,,,,,,,
02.01.02.01,02.01.02.РТ03,,,резка металлической трубы,нерж10х10,,,6000,1087,1,2,1087,"19,280","1156,79",1157,,,,,,,0,,,,,,,,
02.01.02.01,02.01.02.РТ04,,,резка металлической трубы,нерж10х10,,,6000,1071,1,2,1071,"18,996","1139,77",1140,,,,,,,0,,,,,,,,
,,,,,,,,6000,,,,0,"0,000","0,00",0,,,,,,,0,,,,,,,,
,,,,,,,,6000,,,,0,"0,000","0,00",0,,,,,,,0,,,,,,,,
,,,,,,,,,,,,5638,"6,0",,6000,,,,,,,,,,,,,,,
,,,,,,,,,,,,,% отхода,,проверка,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Фото,,Название операции,02.01.02.02,,,длина трубы,длина детали,кол-во в трубе,кол-во в изделии,длина всех дет.одного вида,% в трубе,длина детали с учетом отходов,,,,,,"общее время резки трубы, сек",,"время одного реза (время резки детали), сек",,,,,,,,
02.01.02.02,02.01.02.РТ02,,,резка металлической трубы,нерж10х10,,,6000,435,8,2,3480,"61,724","462,93",3703,,,,,,,0,,,,,,,,
02.01.02.02,02.01.02.РТ03,,,резка металлической трубы,нерж10х10,,,6000,1087,1,2,1087,"19,280","1156,79",1157,,,,,,,0,,,,,,,,
02.01.02.02,02.01.02.РТ04,,,резка металлической трубы,нерж10х10,,,6000,1071,1,2,1071,"18,996","1139,77",1140,,,,,,,0,,,,,,,,
,,,,,,,,6000,,,,0,"0,000","0,00",0,,,,,,,0,,,,,,,,
,,,,,,,,6000,,,,0,"0,000","0,00",0,,,,,,,0,,,,,,,,
